Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,
6/3/2016 5:00,206,17.85,27.42502,35.85003,12.21833,12,11,12.81236,,
6/3/2016 6:00,207,17.82834,27.44667,35.87168,11.94,12,11,12.80228,,
6/3/2016 7:00,208,17.8,27.45001,35.79999,11.63667,11.94667,11,12.83586,,
6/3/2016 8:00,209,17.79667,27.37835,35.85001,11.4,11.9,11,12.97605,,
6/3/2016 9:00,210,17.82833,27.42501,35.82835,11.40334,11.89667,11,13.48978,,
6/3/2016 10:00,211,17.775,27.42169,35.82169,11.61001,11.79999,11,13.3966,,
6/3/2016 11:00,212,17.74334,27.37168,35.77832,11.96666,11.79999,11,13.36387,,
6/3/2016 12:00,213,17.67167,27.32502,35.79667,12.52,11.72167,11,13.35883,,
6/3/2016 13:00,214,17.64667,27.29999,35.77832,13.23,11.70001,11.02833,13.37226,,
6/3/2016 14:00,215,17.47167,27.30001,35.79999,14.21166,11.70001,11.075,13.36471,,
6/3/2016 15:00,216,17.37167,27.27165,35.82169,15.5,11.70001,11.07167,13.34288,,
6/3/2016 16:00,217,17.24665,27.22498,35.77832,16.855,11.70001,11,13.32525,,
6/3/2016 17:00,218,17.16832,27.19999,35.82167,17.42833,11.77833,11.025,13.30762,,
6/3/2016 18:00,219,16.86833,27.19999,35.80002,17.39668,11.85334,11.02833,13.30594,,
6/3/2016 19:00,220,16.74666,27.17165,35.77502,17.19,11.95333,11.075,13.18842,,
6/3/2016 20:00,221,16.71833,27.12499,35.74667,16.83666,12.05333,11.05,13.09776,,
6/3/2016 21:00,222,16.65667,27.14999,35.70332,16.43667,12.15334,11.1,13.04908,,
6/3/2016 22:00,223,16.77832,27.09999,35.77169,15.93001,12.27833,11.1,12.98948,,
6/3/2016 23:00,224,16.775,27.07499,35.72831,15.32999,12.35334,11.1,12.9475,,
6/4/2016 0:00,225,16.79999,27.14999,35.74667,14.73,12.40001,11.1,12.90805,,
6/4/2016 1:00,226,16.775,27.10332,35.72831,14.20833,12.47833,11.1,12.87447,,
6/4/2016 2:00,227,16.775,27.14664,35.74664,13.73666,12.5,11.1,12.84761,,
6/4/2016 3:00,228,16.75,27.09999,35.75,13.33667,12.5,11.1,12.82998,,
6/4/2016 4:00,229,16.74667,27.09999,35.70332,13.01501,12.5,11.12834,12.80816,,
6/4/2016 5:00,230,16.70334,27.12499,35.69665,12.665,12.5,11.20001,12.8006,,
6/4/2016 6:00,231,16.77166,27.09999,35.77502,12.33667,12.42167,11.20001,12.78381,,
6/4/2016 7:00,232,16.70334,27.14999,35.75,11.99001,12.40001,11.20001,12.79976,,
6/4/2016 8:00,233,16.72168,27.09999,35.72498,11.74667,12.37166,11.20001,12.97605,,
6/4/2016 9:00,234,16.70001,27.12498,35.69998,11.72833,12.29999,11.20001,13.49314,,
6/4/2016 10:00,235,16.72167,27.12499,35.70332,11.935,12.24667,11.20001,13.39493,,
6/4/2016 11:00,236,16.59666,27.09999,35.74664,12.34166,12.19667,11.25333,13.36135,,
6/4/2016 12:00,237,16.5,27.09665,35.70001,12.89833,12.1,11.29999,13.34624,,
6/4/2016 13:00,238,16.38666,27.02499,35.67832,13.68333,12.1,11.29999,13.33952,,
6/4/2016 14:00,239,16.01499,26.99667,35.72164,14.81833,12.07166,11.29999,13.32609,,
6/4/2016 15:00,240,15.79999,26.90001,35.69665,16.25333,12.00333,11.29999,13.30427,,
6/4/2016 16:00,241,15.63999,26.92501,35.67833,17.63,12.1,11.29999,13.2858,,
6/4/2016 17:00,242,15.41833,26.90001,35.69998,18.15334,12.12834,11.29999,13.27237,,
6/4/2016 18:00,243,15.25,26.87501,35.67497,18.17167,12.22833,11.29999,13.27237,,
6/4/2016 19:00,244,15.22168,26.84667,35.7,17.96502,12.32834,11.29999,13.14645,,
6/4/2016 20:00,245,15.20001,26.85001,35.64999,17.63666,12.42833,11.29999,13.08937,,
6/4/2016 21:00,246,15.125,26.85334,35.64665,17.23333,12.55333,11.29999,13.03229,,
6/4/2016 22:00,247,15.175,26.82501,35.625,16.655,12.65334,11.29999,12.97185,,
6/4/2016 23:00,248,15.20001,26.87501,35.67834,16.00167,12.72833,11.29999,12.92568,,
6/5/2016 0:00,249,15.22167,26.82501,35.64666,15.38333,12.79999,11.29999,12.88203,,
6/5/2016 1:00,250,15.17834,26.84668,35.70333,14.82999,12.85334,11.29999,12.85181,,
