Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp
6/3/2016 3:00,204,17.65,28.85669,33.80335,14.13667,13.09999,12,12.80648
6/3/2016 4:00,205,17.64999,28.99666,33.75333,13.765,13.09999,12.00333,12.78885
6/3/2016 5:00,206,17.675,28.95334,33.81835,13.49001,13.09999,12.07499,12.7813
6/3/2016 6:00,207,17.67167,28.90001,33.70332,13.13667,13.09999,12.1,12.76787
6/3/2016 7:00,208,17.625,28.92169,33.77166,12.73999,13.09999,12.1,12.82411
6/3/2016 8:00,209,17.65333,28.95334,33.70332,12.49334,13.09999,12.1,13.08433
6/3/2016 9:00,210,17.69667,28.92168,33.77169,12.45667,13.02167,12.1,13.41088
6/3/2016 10:00,211,17.54666,28.87501,33.72831,12.76334,13,12.1,13.32609
6/3/2016 11:00,212,17.51834,28.92501,33.72165,13.32666,12.94667,12.1,13.30762
6/3/2016 12:00,213,17.24334,28.84668,33.72831,14.155,12.90001,12.1,13.30846
6/3/2016 13:00,214,17.01834,28.92501,33.72165,15.18999,12.82166,12.1,13.32105
6/3/2016 14:00,215,16.82166,28.80001,33.67498,16.36167,12.79999,12.1,13.30427
6/3/2016 15:00,216,16.76501,28.80001,33.72498,17.40833,12.79999,12.1,13.27153
6/3/2016 16:00,217,16.62167,28.79999,33.69998,18.32667,12.79999,12.1,13.24718
6/3/2016 17:00,218,16.45001,28.82167,33.70332,19.07,12.85334,12.1,13.2304
6/3/2016 18:00,219,16.375,28.75334,33.71831,19.47833,12.92833,12.1,13.24047
6/3/2016 19:00,220,16.16166,28.75001,33.64999,19.39001,13.00333,12.1,13.1582
6/3/2016 20:00,221,16.05333,28.84669,33.64999,18.98001,13.09999,12.1,13.07426
6/3/2016 21:00,222,16.12833,28.77501,33.65332,18.38,13.17834,12.1,13.00878
6/3/2016 22:00,223,16.27501,28.75,33.67165,17.75167,13.27833,12.12834,12.9559
6/3/2016 23:00,224,16.20667,28.75336,33.64999,17.02666,13.37834,12.20001,12.90134
6/4/2016 0:00,225,16.30334,28.82835,33.65332,16.30166,13.45333,12.20001,12.86944
6/4/2016 1:00,226,16.29333,28.76834,33.67497,15.68333,13.5,12.20001,12.83334
6/4/2016 2:00,227,16.16833,28.75334,33.67164,15.155,13.55333,12.27833,12.80648
6/4/2016 3:00,228,16.15334,28.80002,33.62499,14.63667,13.59999,12.29999,12.79053
6/4/2016 4:00,229,16.49166,28.77165,33.59998,14.23666,13.59999,12.29999,12.77542
6/4/2016 5:00,230,16.61832,28.80668,33.65331,13.83667,13.59999,12.29999,12.75947
6/4/2016 6:00,231,16.52833,28.79333,33.62165,13.43667,13.59999,12.35334,12.75191
6/4/2016 7:00,232,16.52168,28.75002,33.62498,13.06167,13.54667,12.40001,12.7771
6/4/2016 8:00,233,16.5,28.74999,33.59998,12.74667,13.5,12.40001,13.07846
6/4/2016 9:00,234,16.525,28.75336,33.59998,12.72833,13.49667,12.40001,13.39577
6/4/2016 10:00,235,16.44334,28.77501,33.59998,13.01667,13.40001,12.40001,13.32693
6/4/2016 11:00,236,16.32167,28.74664,33.62831,13.62668,13.37166,12.40001,13.30007
6/4/2016 12:00,237,16.09334,28.775,33.62165,14.45833,13.29999,12.40001,13.28748
6/4/2016 13:00,238,15.89333,28.69999,33.59998,15.53999,13.27167,12.40001,13.28412
6/4/2016 14:00,239,15.71833,28.72499,33.59665,16.79001,13.20001,12.40001,13.25726
6/4/2016 15:00,240,15.54001,28.69999,33.54999,17.96165,13.20001,12.40001,13.23291
6/4/2016 16:00,241,15.215,28.72498,33.60332,18.92666,13.20001,12.40001,13.20605
6/4/2016 17:00,242,15.025,28.64666,33.59665,19.72333,13.20334,12.40001,13.1943
6/4/2016 18:00,243,14.89667,28.62165,33.52499,20.20668,13.29999,12.40001,13.1985
6/4/2016 19:00,244,14.85001,28.54999,33.54999,20.19,13.35334,12.40001,13.10196
6/4/2016 20:00,245,14.74334,28.58165,33.55332,19.73,13.42833,12.40001,13.0474
6/4/2016 21:00,246,14.72833,28.62166,33.59665,19.13,13.52833,12.40001,12.98528
6/4/2016 22:00,247,14.8,28.62832,33.5,18.39499,13.67834,12.40001,12.92652
6/4/2016 23:00,248,14.69667,28.56833,33.54999,17.57333,13.75333,12.40001,12.87615
6/5/2016 0:00,249,14.77501,28.58165,33.5,16.85499,13.82834,12.47833,12.8409
6/5/2016 1:00,250,14.675,28.62165,33.5,16.20166,13.90001,12.5,12.81236
6/5/2016 2:00,251,14.54667,28.57499,33.5,15.60834,13.95333,12.5,12.78801
6/5/2016 3:00,252,14.65,28.49667,33.5,15.05834,14,12.50333,12.76619
6/5/2016 4:00,253,14.65334,28.525,33.52499,14.58334,14,12.59999,12.75527
6/5/2016 5:00,254,14.62166,28.62499,33.5,14.05834,14,12.59999,12.7452
6/5/2016 6:00,255,14.54999,28.53166,33.44668,13.63667,13.97167,12.59999,12.73597
6/5/2016 7:00,256,14.59667,28.54333,33.45334,13.265,13.90001,12.59999,12.76367
6/5/2016 8:00,257,14.65334,28.55999,33.47501,12.96501,13.90001,12.65334,13.06419
6/5/2016 9:00,258,14.62834,28.625,33.5,12.88167,13.82166,12.70001,13.39241
6/5/2016 10:00,259,14.64667,28.64665,33.475,13.16667,13.77167,12.70001,13.32441
6/5/2016 11:00,260,14.51834,28.57499,33.475,13.77333,13.70001,12.70001,13.29167
6/5/2016 12:00,261,14.37167,28.59667,33.475,14.63334,13.64666,12.70001,13.28328
6/5/2016 13:00,262,14.20499,28.54666,33.5,15.68999,13.59666,12.70001,13.28328
6/5/2016 14:00,263,13.85333,28.54999,33.44668,16.89,13.5,12.70001,13.25054
6/5/2016 15:00,264,13.775,28.52499,33.45333,18.08667,13.5,12.70001,13.21613
6/5/2016 16:00,265,13.72167,28.5,33.44668,19.10501,13.5,12.70001,13.19178
6/5/2016 17:00,266,13.70001,28.44668,33.39669,19.89499,13.5,12.70001,13.18171
6/5/2016 18:00,267,13.67501,28.4,33.35669,20.33167,13.57833,12.70001,13.17415
6/5/2016 19:00,268,13.62166,28.42501,33.41835,20.28999,13.62834,12.69667,13.08937
6/5/2016 20:00,269,13.59999,28.42501,33.35002,19.90833,13.72833,12.65334,13.04488
6/5/2016 21:00,270,13.625,28.42501,33.35669,19.38,13.82834,12.70001,12.98108
6/5/2016 22:00,271,13.59999,28.40001,33.39668,18.75167,13.92833,12.70001,12.9198
6/5/2016 23:00,272,13.62833,28.40001,33.32502,17.97334,14.00333,12.70001,12.87699
6/6/2016 0:00,273,13.62166,28.40001,33.40002,17.20166,14.09999,12.70001,12.83838
6/6/2016 1:00,274,13.59999,28.42834,33.39667,16.58334,14.17834,12.70001,12.80816
6/6/2016 2:00,275,13.59999,28.42168,33.37502,16.05834,14.20001,12.70334,12.78298
6/6/2016 3:00,276,13.64999,28.42501,33.32836,15.55501,14.20001,12.79999,12.77206
6/6/2016 4:00,277,13.59999,28.45334,33.35001,15.03667,14.20001,12.79999,12.75779
6/6/2016 5:00,278,13.59999,28.42502,33.34668,14.63667,14.20001,12.79999,12.74436
6/6/2016 6:00,279,13.59999,28.42168,33.35001,14.23999,14.20001,12.79999,12.73932
6/6/2016 7:00,280,13.59999,28.45667,33.27836,13.96501,14.20001,12.87834,12.79053
6/6/2016 8:00,281,13.59999,28.49667,33.35001,13.77167,14.12166,12.90001,12.81655
6/6/2016 9:00,282,13.60333,28.44668,33.29669,13.78166,14.09999,12.90001,12.99367
6/6/2016 10:00,283,13.62499,28.45001,33.35001,13.98166,14.04667,12.90001,13.04824
6/6/2016 11:00,284,13.62166,28.45,33.32503,14.21334,14,12.90001,13.35127
6/6/2016 12:00,285,13.625,28.50666,33.32501,14.79834,13.94668,12.90001,13.30679
6/6/2016 13:00,286,13.65,28.44668,33.30335,15.52333,13.90001,12.90001,13.20857
6/6/2016 14:00,287,13.59999,28.47834,33.29667,16.03166,13.84666,12.90001,13.31686
6/6/2016 15:00,288,13.675,28.52167,33.30669,16.29833,13.79999,12.90001,13.23795
6/6/2016 16:00,289,13.59999,28.5,33.34669,17.21166,13.79999,12.90001,13.20773
6/6/2016 17:00,290,13.54667,28.47501,33.32169,18.305,13.79999,12.90001,13.16996
6/6/2016 18:00,291,13.575,28.44668,33.27499,19.04166,13.79999,12.90001,13.19346
6/6/2016 19:00,292,13.5,28.40001,33.275,19.32166,13.82834,12.90001,13.09189
6/6/2016 20:00,293,13.5,28.37501,33.30002,18.95501,13.90001,12.90001,13.01466
6/6/2016 21:00,294,13.47501,28.40001,33.27502,18.38,13.95333,12.90001,12.95506
6/6/2016 22:00,295,13.5,28.42834,33.27169,17.80499,14.00333,12.90001,12.90134
6/6/2016 23:00,296,13.5,28.42168,33.30335,17.17999,14.09999,12.90001,12.85852
6/7/2016 0:00,297,13.52166,28.40335,33.32169,16.58334,14.10333,12.90001,12.82411
